age,Sr,eSr,d13C_berner,ed13C,d13C_10_smooth,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC,sCAPd34S,esCAPd34S,sCAPd13C,esCAPd13C,sfpy,esfpy,smO2_1_berner,esmO2_1_berner,smO2_1_bergman,esmO2_1_bergman,smO2_1_fix,esmO2_1_fix,smO2_5_berner,esmO2_5_berner,smO2_5_bergman,esmO2_5_bergman,smO2_5_fix,esmO2_5_fix,smO2_bergman,esmO2_bergman,smO2_lenton,esmO2_lenton
130,73,0.644319279,2,0.2658024,1.808571429,1.039092152,17.3,0.774025428,0.651,0.05208,1.04,0.416,0.86,0.43,0.9,0.2025,1,0.2,0.8404,0.4202,1.17,0.585,1.063068526,0.239190418,0.056086113,0.028043057,-0.4,5,2.3505,1.25,1.483,0.259525,0.783,0.176175,40.5,4,29.2405339,0,0,0,11.53472344,0,3.078322807,0,0,0,11.53472344,0,3.078322807,0,0,0,3.078322807,0,3.078322807,0
120,72,1.552958336,2.5,0.383574975,2.683372424,1.513516181,16.4,0.584829009,0.6622,0.052976,1.04,0.416,0.88,0.44,0.873,0.196425,1,0.2,0.871133333,0.435566667,1.18,0.59,1.129573479,0.254154033,0.055068223,0.027534112,-0.5,5,2.5175,1.25,1.657,0.289975,0.8,0.18,39.6,4,31.44822997,0,0,0,7.297273685,0,7.13473724,0,0,0,7.297273685,0,7.13473724,0,0,0,7.13473724,0,7.13473724,0
110,73,1.382188091,2.7,0.214488,1.995851068,1.307894405,15.7,0.267771725,0.6759,0.054072,1.04,0.416,0.85,0.425,0.846,0.19035,1,0.2,0.888,0.444,1.18,0.59,1.166889024,0.26255003,0.052402062,0.026201031,-0.7,5,3.0702,1.25,1.723,0.301525,0.817,0.183825,38.6,4,30.0183465,0,0,0,3.489353768,0,6.605276227,0,0,0,3.489353768,0,6.605276227,0,0,0,6.605276227,0,6.605276227,0
100,74,1.376407709,2.6,0.2423592,1.9542214,0.334038582,17.4,0.606932945,0.6923,0.055384,1.04,0.416,0.82,0.41,0.819,0.184275,1,0.2,0.891,0.4455,1.18,0.59,1.175015161,0.264378411,0.049735901,0.024867951,-0.9,5,4.0086,1.25,1.643,0.287525,0.833,0.187425,40.1,4,28.7864469,0,0,0,1.851788154,0,3.761868735,0,0,0,1.851788154,0,3.761868735,0,0,0,3.761868735,0,3.761868735,0
90,75.16666667,1.6460974,2.5,0.3099672,2.049766301,0.417134403,18.5,0.140217943,0.7113,0.056904,0.88,0.352,0.81,0.405,0.843,0.189675,1,0.2,0.894,0.447,1.19,0.595,1.183141298,0.266206792,0.050252982,0.025126491,-1.1,5,4.947,1.25,1.397,0.244475,0.85,0.19125,39.5,4,29.72137071,0,0,0,-0.063760821,0,-0.477472128,0,0,0,-0.063760821,0,-0.477472128,0,0,0,-0.477472128,0,-0.477472128,0
80,76.16666667,1.632271901,2.4,0.1850832,2.103613871,0.329046949,18.4,0.286957106,0.7329,0.058632,0.88,0.352,0.79,0.395,0.893,0.200925,1,0.2,0.87495,0.437475,1.19,0.595,1.192692541,0.268355822,0.050770063,0.025385032,-1.2,5,4.28,1.25,1.333,0.233275,0.867,0.195075,41.4,4,27.76115447,0,0,0,-1.893770433,0,-2.001753078,0,0,0,-1.893770433,0,-2.001753078,0,0,0,-2.001753078,0,-2.001753078,0
70,78,1.866222523,2.4,0.1271844,1.887818034,0.827912045,18.9,0.416757693,0.7572,0.060576,0.88,0.352,0.87,0.435,0.943,0.212175,1,0.2,0.8559,0.42795,1.2,0.6,1.202243784,0.270504851,0.051287144,0.025643572,-1.4,5,3.613,1.25,1.34,0.2345,0.883,0.198675,42.3,4,28.45959754,0,0,0,-0.097849285,0,-2.175855732,0,0,0,-0.097849285,0,-2.175855732,0,0,0,-2.175855732,0,-2.175855732,0
60,78.5,1.193763254,2.3,0.4825656,1.961350588,1.76655118,18.3,0.278637608,0.7842,0.062736,1.26,0.504,0.94,0.47,0.971,0.218475,1,0.2,0.887733333,0.443866667,1.15,0.575,1.190115221,0.267775925,0.045954821,0.022977411,-0.8,5,2.016888889,1.25,1.353,0.236775,0.9,0.2025,41.8,4,30.16828628,0,0,0,-2.401996535,0,-1.884944367,0,0,0,-2.401996535,0,-1.884944367,0,0,0,-1.884944367,0,-1.884944367,0
50,78,0.693546005,2.2,0.4480236,1.034273345,1.357127967,18.9,0.608302702,0.8138,0.065104,1.1,0.44,0.92,0.46,0.999,0.224775,1,0.2,0.907509091,0.453754545,1.1,0.55,1.181956006,0.265940101,0.040622498,0.020311249,0.1,5,0.685181818,1.25,1.427,0.249725,0.917,0.206325,42.5,4,30.49610357,0,0,0,-1.15798759,0,0.781219982,0,0,0,-1.15798759,0,0.781219982,0,0,0,0.781219982,0,0.781219982,0
40,78.33333333,1.137572269,2.2,0.3349224,0.945616155,0.797941427,22.2,0.071800228,0.846,0.06768,1.1,0.44,0.91,0.455,1.043,0.234675,1,0.2,0.879054545,0.439527273,1.08,0.54,1.189674183,0.267676691,0.035290176,0.017645088,0.1,5,0.411090909,1.25,1.247,0.218225,0.933,0.209925,45.9,4,29.57217887,0,0,0,6.090839724,0,-0.884936486,0,0,0,6.090839724,0,-0.884936486,0,0,0,-0.884936486,0,-0.884936486,0
30,80.83333333,2.009774665,2.2,0.1333584,0.79504716,0.692852977,21.8,0.172329781,0.8807,0.070456,1.29,0.516,1,0.5,1.087,0.244575,1,0.2,0.8506,0.4253,1.06,0.53,1.197392359,0.269413281,0.029957853,0.014978927,0.1,5,0.137,1.25,1.057,0.184975,0.95,0.21375,45.6,4,30,0,0,0,0.895418887,0,-4.076990387,0,0,0,0.895418887,0,-4.076990387,0,0,0,-4.076990387,0,-4.076990387,0
20,85.5,3.739683628,2,0.3898224,0.93522494,0.758635704,21.9,0.071375066,0.918,0.07344,0.99,0.396,1,0.5,1.039,0.233775,1,0.2,0.849866667,0.424933333,1.04,0.52,1.071255306,0.241032444,0.029957853,0.014978927,0,5,0.045666667,1.25,0.993,0.173775,0.967,0.217575,45.8,4,27.5435482,0,0,0,-2.174728697,0,-6.505824528,0,0,0,-2.174728697,0,-6.505824528,0,0,0,-6.505824528,0,-6.505824528,0
10,89.66666667,1.578155863,1.7,0.3249216,0.848108085,1.399956147,22.1,0.099132131,0.9578,0.076624,1,0.4,1,0.5,1.01,0.22725,1,0.2,0.8495,0.42475,1.02,0.51,1.005457853,0.226228017,0.029957853,0.014978927,0,5,0,1.25,0.98,0.1715,0.983,0.221175,46,4,25.86068535,0,0,0,-4.005198959,0,-6.506854003,0,0,0,-4.005198959,0,-6.506854003,0,0,0,-6.506854003,0,-6.506854003,0
0,91.25,1.106233667,1.5,0.2490876,0.037372625,0.997922515,21.8,0.186040812,1,0.08,1,0.4,1,0.5,1,0.225,1,0.2,0.8495,0.42475,1,0.5,1,0.225,0.029957853,0.014978927,0,5,0,1.25,1,0.175,1,0.225,45.8,4,22.4491154,0,0,0,-4.165867955,0,-3.464979515,0,0,0,-4.165867955,0,-3.464979515,0,0,0,-3.464979515,0,-3.464979515,0
