age,Sr,eSr,d13C_berner,ed13C,d13C_10_smooth,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC,sCAPd34S,esCAPd34S,sCAPd13C,esCAPd13C,sfpy,esfpy,smO2_1_berner,esmO2_1_berner,smO2_1_bergman,esmO2_1_bergman,smO2_1_fix,esmO2_1_fix,smO2_5_berner,esmO2_5_berner,smO2_5_bergman,esmO2_5_bergman,smO2_5_fix,esmO2_5_fix,smO2_bergman,esmO2_bergman,smO2_lenton,esmO2_lenton
440,79,2.787186692,0.7,0.7905024,1.945969775,3.585058013,27,2.091082364,0.9723,0.077784,1.43,0.572,0.63,0.315,0.755,0.169875,1,0.2,0.8412,0.4206,1.1,0.55,0.946482717,0.212958611,0.024532248,0.012266124,2.6,5,-2.445,1.25,1.55,0.27125,0.75,0.16875,31.9,4,31.45372952,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506967132,0,11.11877885,0
430,81,1.935793291,1,0.6384312,2.365025375,2.874826527,27.6,1.744051113,0.9603,0.076824,1.43,0.572,0.62,0.31,0.773,0.173925,1,0.2,0.8455,0.42275,1.31,0.655,1.076106731,0.242124015,0.022982706,0.011491353,0.1,5,-0.465,1.25,1.55,0.27125,0.75,0.16875,32.8,4,30.26032678,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367674613,0,6.093048993,0
420,86,2.270982213,1.5,0.8198316,2.733409217,4.706926763,26.5,1.292569239,0.9475,0.0758,1.54,0.616,0.74,0.37,0.791,0.177975,1,0.2,0.837933333,0.418966667,1.28,0.64,1.083282798,0.243738629,0.022486505,0.011243253,-1.9,5,-0.904,1.25,1.53,0.26775,0.75,0.16875,32,4,28.95143346,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027632645,0,1.618587232,0
410,87,3.358490877,2,0.33921,1.979308211,2.47544167,23.6,0.899184816,0.9339,0.074712,1.63,0.652,0.74,0.37,0.809,0.182025,1,0.2,0.830366667,0.415183333,1.25,0.625,1.090458864,0.245353244,0.022410168,0.011205084,-0.9,5,-1.343,1.25,1.48,0.259,0.75,0.16875,29.6,4,28.79744601,0,0.62,0,0.439040865,0,0.439040865,0,0.439040865,0,0.796435533,0,0.796435533,0,0.796435533,0,0.485154975,0,-0.879539321,0
400,85,1.909957966,0.5,0.3367944,0.966241562,1.792913695,21.7,0.867409938,0.9196,0.073568,1.63,0.652,0.74,0.37,0.827,0.186075,1,0.2,0.8228,0.4114,1.23,0.615,1.09763493,0.246967859,0.022333831,0.011166916,0.1,5,-1.782,1.25,1.38,0.2415,0.75,0.16875,29.4,4,28.57196438,0,0.58,0,1.333283607,0,1.333283607,0,1.333283607,0,1.618425148,0,1.618425148,0,1.618425148,0,1.14875176,0,-6.51930657,0
390,80,1.046992592,1.5,0.4872636,1.332063645,2.383112951,21.2,1.560170931,0.9047,0.072376,1.47,0.588,0.72,0.36,0.787,0.177075,1,0.2,0.8257,0.41285,1.22,0.61,1.123913483,0.252880534,0.022257495,0.011128748,1.1,5,-0.577333333,1.25,1.36,0.238,0.75,0.16875,29,4,29.35840029,0,0.55,0,2.431879732,0,2.431879732,0,2.431879732,0,2.156437412,0,2.156437412,0,2.156437412,0,1.232251268,0,-2.770191156,0
380,78,1.54523811,1,0.4729608,1.341610029,2.608888248,21.2,0.799699944,0.8892,0.071136,1.47,0.588,0.69,0.345,0.747,0.168075,1,0.2,0.8286,0.4143,1.21,0.605,1.150192036,0.258793208,0.022181158,0.011090579,1,5,0.627333333,1.25,1.38,0.2415,0.75,0.16875,30.4,4,30.26032678,0,0.53,0,3.479010926,0,3.479010926,0,3.479010926,0,2.913435841,0,2.913435841,0,2.913435841,0,2.241647851,0,2.938322488,0
370,82,1.809533172,1,0.2701008,1.009505721,2.27294324,20.3,0.936205985,0.8734,0.069872,1.47,0.588,0.69,0.345,0.707,0.159075,1,0.2,0.8315,0.41575,1.21,0.605,1.176470588,0.264705882,0.022104821,0.011052411,0.9,5,1.832,1.25,1.4,0.245,0.75,0.16875,30.3,4,30.99726672,0,0.5,0,5.015197568,0,5.015197568,0,5.015197568,0,4.488950276,0,4.488950276,0,4.488950276,0,4.23807582,0,5.588145394,0
360,82,2.084706146,1.4,0.5345928,3.912232931,3.494246307,19.5,0.936205985,0.8571,0.068568,1.4,0.56,0.7,0.35,0.736,0.1656,1,0.2,0.8391,0.41955,1.21,0.605,1.170002021,0.263250455,0.020536175,0.010268088,0.7,5,1.229666667,1.25,1.43,0.25025,0.75,0.16875,29.7,4,31.78920218,0,0,0,9.136212625,0,9.136212625,0,9.136212625,0,8.75748503,0,8.75748503,0,8.75748503,0,4.519908238,0,6.150297505,0
350,78,3.720777374,2.8,0.5661432,2.313002523,2.159823261,17,1.018233765,0.8407,0.067256,1.41,0.564,0.73,0.365,0.766,0.17235,1,0.2,0.8467,0.42335,1.21,0.605,1.163533455,0.261795027,0.01896753,0.009483765,0.6,5,0.627333333,1.25,1.43,0.25025,0.75,0.16875,27.5,4,32.06967932,0,0,0,10.26414011,0,10.26414011,0,10.26414011,0,9.755173198,0,9.755173198,0,9.755173198,0,5.398261446,0,3.946834412,0
340,75,3.358826861,2.9,0.5284152,2.417676731,2.810155755,15.8,1.15562393,0.824,0.06592,1.41,0.564,0.76,0.38,0.796,0.1791,1,0.2,0.8543,0.42715,1.21,0.605,1.157064888,0.2603396,0.019256534,0.009628267,0.5,5,0.025,1.25,1.28,0.224,0.75,0.16875,29.1,4,32.35015646,0,0,0,10.3848947,0,10.3848947,0,10.3848947,0,9.654008439,0,9.654008439,0,9.654008439,0,14.08118439,0,3.641765705,0
